Mean Temp (°C),Total Precip (mm),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),New_cases,New_hospitalized,New_icu,First_day,Stayhome_Order,std_sd_score
26.639999999999997,1.7,1.6600000000000001,0.0,0.4,119.0,-5.0,1.0,0.0,1.0,37.69100169779287
23.52,0.0,0.0,0.0,0.4,111.0,14.0,-1.0,0.0,1.0,29.20203735144312
23.58,4.4399999999999995,4.16,0.0,0.4,76.0,-5.0,-3.0,0.0,1.0,33.106960950764005
21.78,0.13999999999999999,0.13999999999999999,0.0,0.4,89.0,-7.0,-4.0,0.0,0.0,26.146010186757216
22.259999999999998,0.0,0.0,0.0,0.4,134.0,-6.0,2.0,0.0,0.0,22.07130730050934
23.06,4.4399999999999995,1.8399999999999999,0.0,0.4,124.0,-5.0,-1.0,0.0,0.0,5.432937181663837
22.9,23.5,16.04,0.0,0.4,116.0,-1.0,1.0,0.0,0.0,33.106960950764005
21.34,12.440000000000001,6.1,0.0,0.4,88.0,3.0,-1.0,0.0,0.0,38.53989813242784
20.560000000000002,6.62,6.58,0.0,0.4,91.0,3.0,0.0,0.0,0.0,44.31239388794568
18.18,0.27999999999999997,0.27999999999999997,0.0,0.4,86.0,-12.0,1.0,0.0,0.0,27.67402376910017
18.08,0.0,0.0,0.0,0.4,95.0,5.0,-3.0,0.0,0.0,23.2597623089983
19.22,0.0,0.0,0.0,0.4,88.0,-5.0,0.0,0.0,0.0,25.636672325976228
20.76,0.0,0.0,0.0,0.4,70.0,-13.0,0.0,0.0,0.0,3.904923599320883
22.76,0.3,0.16,0.0,0.4,79.0,2.0,0.0,0.0,0.0,13.582342954159593
25.46,0.0,0.0,0.0,0.4,115.0,-6.0,-1.0,0.0,0.0,30.89983022071307
21.98,0.18,0.18,0.0,0.4,33.0,11.0,-3.0,0.0,0.0,32.42784380305603
21.18,0.0,0.0,0.0,0.4,95.0,-11.0,-1.0,0.0,0.0,27.50424448217317
22.839999999999996,0.0,0.0,0.0,0.4,78.0,-6.0,-2.0,0.0,0.0,25.46689303904924
22.54,0.0,0.0,0.0,0.4,92.0,-2.0,-3.0,0.0,0.0,25.806451612903224
21.58,0.0,0.0,0.0,0.4,106.0,-2.0,1.0,0.0,0.0,5.093378607809847
21.580000000000002,4.26,4.0600000000000005,0.0,0.4,81.0,-2.0,1.0,0.0,0.0,23.599320882852293
20.54,4.1,3.4,0.0,0.4,99.0,-5.0,-2.0,0.0,0.0,37.52122241086588
18.259999999999998,0.4,0.4,0.0,0.4,125.0,9.0,-2.0,0.0,0.0,30.39049235993209
16.44,0.0,0.0,0.0,0.4,102.0,1.0,0.0,0.0,0.0,30.050933786078097
17.1,0.32,0.32,0.0,0.4,76.0,-7.0,1.0,1.0,1.0,27.164685908319186
21.759999999999998,0.04,0.04,0.0,0.4,131.0,0.0,-1.0,0.0,1.0,28.69269949066214
23.259999999999998,0.0,0.0,0.0,0.4,108.0,5.0,-1.0,0.0,1.0,7.64006791171477
23.92,2.1399999999999997,2.04,0.0,0.4,115.0,1.0,-4.0,0.0,1.0,12.903225806451612
24.82,4.779999999999999,4.319999999999999,0.0,0.4,105.0,-1.0,2.0,0.0,1.0,31.918505942275043
20.86,0.0,0.0,0.0,0.4,100.0,-1.0,1.0,0.0,1.0,29.20203735144312
16.8,2.22,1.48,0.0,0.4,88.0,4.0,0.0,0.0,1.0,38.37011884550085
20.860000000000003,1.1,1.1,0.0,0.4,118.0,5.0,2.0,0.0,1.0,33.446519524618
18.72,0.16,0.12000000000000002,0.0,0.4,122.0,13.0,-1.0,0.0,1.0,33.106960950764005
19.68,7.06,6.88,0.0,0.4,148.0,-10.0,3.0,0.0,1.0,20.88285229202037
17.580000000000002,0.0,0.0,0.0,0.4,112.0,0.0,2.0,0.0,1.0,8.828522920203735
18.259999999999998,0.0,0.0,0.0,0.4,114.0,-2.0,-1.0,0.0,1.0,28.35314091680815
22.2,4.94,2.16,0.0,0.4,112.0,16.0,0.0,0.0,1.0,31.40916808149406
21.619999999999997,3.7399999999999998,2.6,0.0,0.4,133.0,-5.0,-8.0,0.0,1.0,39.04923599320883
19.840000000000003,0.8,0.64,0.0,0.4,132.0,0.0,-1.0,0.0,1.0,28.183361629881155
16.78,0.08,0.08,0.0,0.4,148.0,6.0,4.0,0.0,1.0,27.50424448217317
14.98,0.22000000000000003,0.22000000000000003,0.0,0.4,169.0,-8.0,-1.0,0.0,1.0,13.242784380305602
14.5,0.0,0.0,0.0,0.4,158.0,-6.0,1.0,0.0,1.0,0.0
19.12,6.8199999999999985,4.619999999999999,0.0,0.4,190.0,3.0,0.0,0.0,1.0,55.68760611205433
15.020000000000001,0.68,0.13999999999999999,0.0,0.4,185.0,-1.0,1.0,0.0,1.0,42.444821731748725
15.680000000000001,0.72,0.72,0.0,0.4,149.0,1.0,-1.0,0.0,1.0,43.12393887945671
15.98,0.08,0.04,0.0,0.4,170.0,-1.0,-1.0,0.0,1.0,38.030560271646856
12.5,0.0,0.0,0.0,0.4,213.0,-5.0,2.0,0.0,1.0,34.125636672325975
14.719999999999999,0.0,0.0,0.0,0.4,232.0,-6.0,-7.0,0.0,1.0,13.582342954159593
19.059999999999995,5.720000000000001,4.78,0.0,0.4,204.0,-4.0,2.0,0.0,1.0,26.485568760611205
11.1,0.0,0.0,0.0,0.4,313.0,8.0,4.0,0.0,1.0,37.86078098471987
10.84,0.0,0.0,0.0,0.4,251.0,0.0,2.0,0.0,1.0,38.70967741935484
16.32,0.0,0.0,0.0,0.4,315.0,-3.0,2.0,0.0,1.0,37.86078098471987
